NICKNAME|NOMBRE|CORREO|TELEFONO|FECHANAC|GASTOS
Edgarza|Edgar Jesus Carrera Garza|edgarzamini@gmail.com|52 1771-1051|2000-12-01|" 13,000.00 "
Ninja|Tyler Blevins Garcia|NinjaOficial@gmail.com|52 8372-6043|1988-05-30|" 23,000.00 "
Pepito|Jose Jesus Maldonado Silva|PepitoPepe@gmail.com|52 1751-4812|2001-11-05|" 10,500.00 "
TheGrefg|David Gerardo Vazquez Ponce|TheGrefg@gmail.com|52 5371-4753|2002-07-12|" 12,000.00 "
Willyrex|Guillermo Pedro Garza Martinez|WillyrexParadise@gmail.com|52 4731-9341|2003-12-05|" 7,000.00 "
Mickey|Keven Jahir Reyna Ortiz|MickeyRat@gmail.com|52 6033-1052|1999-01-17|" 10,000.00 "
WindyYT|Wendy Maribel Lopez Arteaga|WindyYT@gmail.com|52 8324-1988|2001-08-11|" 25,000.00 "
GarzaCG|Lorena Garza Cabrera|GarzaCG@gmail.com|52 5732-9546|1989-08-03|" 13,500.00 "
Caeli12|Celcilia Helena Benavidez Moreno|Caeli12@gmail.com|52 5932-4823|2001-11-15|" 27,000.00 "
Jugger777|Jesus Yeray Fernandez Suazo|Jugger777@gmail.com|52 1032-6043|2001-06-20|" 5,000.00 "
